Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Rasho Nesterović,12.9,14.4,0.3,-2.6,C,0.0,0.478,0.573,4.6,1.1,0.3,1.0,0.9,3.2,5.7
Johnny Newman,11.0,20.5,-1.3,-1.9,SF,2.3,0.476,0.838,1.9,0.8,0.6,0.1,1.1,2.5,10.0
Dirk Nowitzki,10.0,21.2,-0.5,1.6,PF,3.7,0.491,0.83,6.5,2.5,0.8,0.8,1.7,3.1,17.5
Shaquille O'Neal*,9.9,31.2,2.0,9.3,C,0.0,0.575,0.524,13.6,3.8,0.5,3.0,2.8,3.2,29.7
Charles Oakley,20.5,13.7,1.1,-2.2,PF,0.5,0.424,0.776,6.8,3.2,1.3,0.6,1.9,3.7,6.9
Lamar Odom,17.6,23.5,-0.2,0.6,SF,2.2,0.453,0.719,7.8,4.2,1.2,1.3,3.4,3.8,16.6
Hakeem Olajuwon*,13.4,22.7,1.3,0.4,C,0.0,0.461,0.616,6.2,1.4,0.9,1.6,1.7,2.0,10.3
Michael Olowokandi,17.4,18.1,-1.4,-6.0,C,0.0,0.437,0.651,8.2,0.5,0.4,1.8,2.2,3.8,9.8
Greg Ostertag,18.4,12.3,1.7,-0.3,C,0.0,0.466,0.636,6.0,0.2,0.2,2.1,1.0,2.4,4.5
Bo Outlaw,24.5,9.8,3.6,4.5,PF,0.0,0.607,0.506,6.4,3.0,1.4,1.8,1.6,2.5,6.0
Billy Owens,17.4,16.3,0.3,-2.6,PF,0.5,0.429,0.594,4.9,1.6,0.5,0.3,1.4,2.7,6.0
Ruben Patterson,15.2,19.9,0.1,1.9,SF,0.3,0.539,0.692,5.4,1.6,1.2,0.5,1.8,2.3,11.6
Gary Payton*,10.8,26.8,0.7,6.4,PG,6.3,0.497,0.735,6.5,8.9,1.9,0.2,2.7,2.2,24.2
Anthony Peeler,9.9,18.7,-0.5,-0.5,SG,3.1,0.491,0.798,2.8,2.4,0.8,0.1,1.0,2.1,9.8
Will Perdue,26.7,13.2,0.1,-5.3,C,0.0,0.351,0.476,3.9,1.0,0.2,0.6,1.2,1.9,2.5
Sam Perkins,11.5,15.3,0.1,0.6,PF,2.7,0.426,0.825,3.6,0.8,0.4,0.4,0.8,1.7,6.6
Wesley Person,8.0,15.8,-0.5,0.3,SG,3.2,0.431,0.792,3.4,1.8,0.5,0.2,0.8,1.5,9.2
Eric Piatkowski,8.5,17.5,-2.1,-1.9,SF,3.2,0.439,0.85,3.0,1.1,0.6,0.2,0.8,1.9,8.7
Paul Pierce*,12.1,24.8,0.9,3.9,SF,3.8,0.476,0.798,5.4,3.0,2.1,0.8,2.4,3.2,19.5
Scottie Pippen*,17.8,19.6,1.7,3.6,SF,3.2,0.506,0.717,6.3,5.0,1.4,0.5,2.5,2.5,12.5
Scot Pollard,12.4,12.6,1.0,0.1,C,0.0,0.527,0.717,5.3,0.6,0.7,0.8,0.7,2.8,5.4
Olden Polynice,13.8,12.9,0.0,-2.8,C,0.0,0.51,0.311,5.5,0.5,0.4,1.0,0.9,3.2,5.3
Terry Porter,15.7,18.3,0.8,3.4,PG,3.0,0.457,0.806,2.8,3.3,0.7,0.1,1.5,1.2,9.4
James Posey,13.6,14.8,1.2,0.7,SF,2.7,0.468,0.8,3.9,1.8,1.2,0.4,1.2,2.6,8.2
Vitaly Potapenko,17.5,20.0,-1.7,-3.5,C,0.0,0.5,0.681,6.3,1.0,0.5,0.4,1.8,3.0,9.2
Theo Ratliff,15.4,17.2,2.0,1.2,PF,0.0,0.503,0.771,7.6,0.6,0.6,3.0,1.9,3.2,11.9
Bryant Reeves,15.8,19.3,-1.4,-4.9,C,0.1,0.452,0.648,5.7,1.2,0.5,0.6,1.7,3.6,8.9
Glen Rice,9.0,22.0,-0.3,0.9,SF,2.9,0.449,0.874,4.1,2.2,0.6,0.2,1.4,2.2,15.9
Mitch Richmond*,11.4,25.0,-0.2,1.1,SG,3.3,0.438,0.876,2.9,2.5,1.5,0.2,2.1,2.6,17.4
Isaiah Rider,12.4,28.8,-2.3,-1.4,SG,3.0,0.441,0.785,4.3,3.7,0.7,0.1,2.8,2.2,19.3
Clifford Robinson,11.2,22.9,0.4,2.5,SF,4.1,0.501,0.782,4.5,2.8,1.1,0.8,2.1,3.0,18.5
David Robinson*,11.6,25.6,2.7,5.8,C,0.0,0.513,0.726,9.6,1.8,1.2,2.3,2.1,3.1,17.8
Eddie Robinson,8.6,18.3,0.2,0.6,SF,0.1,0.555,0.734,2.7,0.5,0.7,0.4,0.6,1.0,7.0
Glenn Robinson,12.3,27.6,-1.9,0.1,SF,2.9,0.493,0.802,6.0,2.4,1.0,0.5,2.8,2.6,20.9
Carlos Rogers,14.1,17.8,-0.9,-0.9,C,0.3,0.545,0.591,5.2,0.8,0.3,0.6,1.2,1.5,8.0
Rodney Rogers,14.1,22.2,1.1,2.6,PF,3.2,0.506,0.639,5.5,2.1,1.1,0.6,2.0,3.5,13.8
Sean Rooks,17.8,17.3,0.7,-2.8,C,0.0,0.431,0.73,3.5,1.0,0.4,0.7,1.0,2.4,4.4
Jalen Rose,12.4,23.2,0.2,1.4,SF,2.5,0.486,0.827,4.8,4.0,1.1,0.6,2.4,2.9,18.2
Malik Rose,17.3,19.7,0.5,-2.6,PF,0.0,0.458,0.722,4.5,0.6,0.5,0.7,1.3,3.1,6.7
Bryon Russell,8.8,18.4,0.8,1.7,SF,3.3,0.467,0.75,5.2,1.9,1.6,0.3,1.2,3.1,14.1
Arvydas Sabonis*,12.4,21.4,1.9,3.6,C,0.3,0.509,0.843,7.8,1.8,0.7,1.2,1.5,2.8,11.8
